C,NEMP.WORLD,DISPATCHSCADA,AEMO,PUBLIC,2022/10/20,00:00:09,0000000373215173,DISPATCHSCADA,0000000373215167
I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",GANGARR1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",GANNBG1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",GANNBL1,0.452980
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",GANNSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",GLRWNSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",GNNDHSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",GOONSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",GORDON,211.989410
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",GRANWF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",GSTONE1,200.024990
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",GSTONE2,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",GSTONE3,200.3750
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",GSTONE4,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",GSTONE5,200.20
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",GSTONE6,200.3750
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",GULLRSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",GULLRWF1,74.833860
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",GULLRWF2,101.513270
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",GUNNING1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",GUTHEGA,67.50
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",HALLWF1,75.60
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",HALLWF2,52.79
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",HAMISF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",HAUGHT11,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",HAYMSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",HDWF1,20.80
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",HDWF2,8
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",HDWF3,20.60
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",HILLSTN1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",HPRG1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",HPRL1,11.20
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",HUMENSW,54.0507
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",HUMEV,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",HVWWBA1G,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",HVWWBA1L,0.0060
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",HVWWPV1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",JBUTTERS,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",JEMALNG1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",JLA01,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",JLA02,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",JLA03,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",JLA04,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",JLB01,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",JLB02,0.10
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",JLB03,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",JUNEESF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",KABANWF1,0.7090
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",KAREEYA1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",KAREEYA2,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",KAREEYA3,4.7025
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",KAREEYA4,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",KARSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",KEPSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",KEPWF1,24.73
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",KIAMSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",KIATAWF1,30.90
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",KPP_1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",KSP1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LADBROK1,0.01
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LADBROK2,37.82
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LBBG1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LBBL1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LD01,350.126650
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LD02,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LD04,345.658750
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LEM_WIL,86.724320
