C,NEMP.WORLD,LFCST_HISTDEMAND,AEMO,PUBLIC,2023/07/22,02:00:01,0000000392649909,,0000000392649908
I,DEMAND,HISTORIC,1,REGIONID,SETTLEMENTDATE,PERIODID,DEMAND
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",37,1438
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",38,1423
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",39,1425
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",40,1410
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",41,1399
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",42,1394
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",43,1354
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",44,1332
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",45,1302
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",46,1275
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",47,1228
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",48,1197
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",1,5340
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",2,5141
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",3,4999
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",4,4821
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",5,4730
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",6,4668
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",7,4631
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",8,4634
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",9,4676
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",10,4770
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",11,4946
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",12,5200
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",13,5673
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",14,6182
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",15,6728
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",16,7010
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",17,7368
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",18,7119
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",19,6913
D,DEMAND,HISTORIC,1,VIC1,"2023/07/21 00:00:00",20,6462
